authors	title	publication_year	doi	url	IS_ACCEPTED
Arijit Das and Diganta Saha	Deep learning based Bengali question answering system using semantic textual similarity	2022	https://doi.org/10.1007/s11042-021-11228-w	https://doi.org/10.1007/s11042-021-11228-w	FALSE
Yun Liu and Xiaoming Zhang and Feiran Huang and Bo Zhang and Zhoujun Li	Cross-Attentional Spatio-Temporal Semantic Graph Networks for Video Question Answering	2022	https://doi.org/10.1109/TIP.2022.3142526	https://doi.org/10.1109/TIP.2022.3142526	FALSE
Aleksandr Perevalov and Dennis Diefenbach and Ricardo Usbeck and Andreas Both	QALD-9-plus: {A} Multilingual Dataset for Question Answering over DBpedia and Wikidata Translated by Native Speakers	2022	https://doi.org/10.1109/ICSC52841.2022.00045	https://doi.org/10.1109/ICSC52841.2022.00045	TRUE
Aleksandr Perevalov and Axel{-}Cyrille Ngonga Ngomo and Andreas Both	Enhancing the Accessibility of Knowledge Graph Question Answering Systems through Multilingualization	2022	https://doi.org/10.1109/ICSC52841.2022.00048	https://doi.org/10.1109/ICSC52841.2022.00048	TRUE
Shen Gao and Yuchi Zhang and Yongliang Wang and Yang Dong and Xiuying Chen and Dongyan Zhao and Rui Yan	HeteroQA: Learning towards Question-and-Answering through Multiple Information Sources via Heterogeneous Graph Modeling	2022	https://doi.org/10.1145/3488560.3498378	https://doi.org/10.1145/3488560.3498378	FALSE
Aleksandr Perevalov and Dennis Diefenbach and Ricardo Usbeck and Andreas Both	QALD-9-plus: {A} Multilingual Dataset for Question Answering over DBpedia and Wikidata Translated by Native Speakers	2022		https://arxiv.org/abs/2202.00120	FALSE
Qianglong Chen	Semantic Sentence Composition Reasoning for Multi-Hop Question Answering	2022	https://doi.org/10.48550/arXiv.2203.00160	https://doi.org/10.48550/arXiv.2203.00160	FALSE
Mingxiao Li and Marie{-}Francine Moens	Dynamic Key-value Memory Enhanced Multi-step Graph Reasoning for Knowledge-based Visual Question Answering	2022	https://doi.org/10.48550/arXiv.2203.02985	https://doi.org/10.48550/arXiv.2203.02985	FALSE
Qi Lang and Xiaodong Liu and Yingjie Deng	Multi-level retrieval with semantic Axiomatic Fuzzy Set clustering for question answering	2021	https://doi.org/10.1016/j.asoc.2021.107858	https://doi.org/10.1016/j.asoc.2021.107858	FALSE
Mucheng Ren and Heyan Huang and Yang Gao	{SKR-QA:} Semantic ranking and knowledge revise for multi-choice question answering	2021	https://doi.org/10.1016/j.neucom.2021.06.076	https://doi.org/10.1016/j.neucom.2021.06.076	FALSE
Xi Zhu and Zhendong Mao and Zhineng Chen and Yangyang Li and Zhaohui Wang and Bin Wang	Object-difference drived graph convolutional networks for visual question answering	2021	https://doi.org/10.1007/s11042-020-08790-0	https://doi.org/10.1007/s11042-020-08790-0	FALSE
Mao Gu and Zhou Zhao and Weike Jin and Richang Hong and Fei Wu	Graph-Based Multi-Interaction Network for Video Question Answering	2021	https://doi.org/10.1109/TIP.2021.3051756	https://doi.org/10.1109/TIP.2021.3051756	FALSE
Lin Li and Miao Kong and Dong Li and Dong Zhou	A multi-granularity semantic space learning approach for cross-lingual open domain question answering	2021	https://doi.org/10.1007/s11280-021-00879-2	https://doi.org/10.1007/s11280-021-00879-2	FALSE
Jiayuan Zhang and Yifei Cai and Qian Zhang and Zehao Cao and Zhenrong Cheng and Dongmei Li and Xianghao Meng	Multi-Hop Reasoning for Question Answering with Knowledge Graph	2021	https://doi.org/10.1109/ICIS51600.2021.9516865	https://doi.org/10.1109/ICIS51600.2021.9516865	FALSE
Jianyu Cai and Zhanqiu Zhang and Feng Wu and Jie Wang	Deep Cognitive Reasoning Network for Multi-hop Question Answering over Knowledge Graphs	2021	https://doi.org/10.18653/v1/2021.findings-acl.19	https://doi.org/10.18653/v1/2021.findings-acl.19	FALSE
Weiwen Xu and Huihui Zhang and Deng Cai and Wai Lam	Dynamic Semantic Graph Construction and Reasoning for Explainable Multi-hop Science Question Answering	2021	https://doi.org/10.18653/v1/2021.findings-acl.90	https://doi.org/10.18653/v1/2021.findings-acl.90	FALSE
Ye Ji and Bohan Li and Yi Liu and Yuxin Zhang and Ken Cai	Multi-space Knowledge Enhanced Question Answering over Knowledge Graph	2021	https://doi.org/10.1007/978-3-030-85899-5\_10	https://doi.org/10.1007/978-3-030-85899-5\_10	FALSE
Zizheng Lin and Haowen Ke and Ngo{-}Yin Wong and Jiaxin Bai and Yangqiu Song and Huan Zhao and Junpeng Ye	Multi-Relational Graph based Heterogeneous Multi-Task Learning in Community Question Answering	2021	https://doi.org/10.1145/3459637.3482279	https://doi.org/10.1145/3459637.3482279	FALSE
Saurabh Srivastava and Mayur Patidar and Sudip Chowdhury and Puneet Agarwal and Indrajit Bhattacharya and Gautam Shroff	Complex Question Answering on knowledge graphs using machine translation and multi-task learning	2021	https://doi.org/10.18653/v1/2021.eacl-main.300	https://doi.org/10.18653/v1/2021.eacl-main.300	FALSE
